tata_company,tata_rows,normalized_name,inferred_parent,recommended_parent,in_spring_canonical,in_spring_aliases,in_spring_entity_members,in_base_only,fix_bucket,priority,recommended_action
深圳蓝动精密有限公司,3,深圳蓝动精密有限公司,深圳蓝动精密有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
深圳麦格米特电气股份有限公司,3,深圳麦格米特电气股份有限公司,深圳麦格米特电气股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
湖北兴发化工集团股份有限公司,3,湖北兴发化工集团股份有限公司,湖北兴发化工集团股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
湖南茶悦文化产业发展集团有限公司,3,湖南茶悦文化产业发展集团有限公司,湖南茶悦文化产业发展集团有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
煤炭科学技术研究院有限公司,3,煤炭科学技术研究院有限公司,煤炭科学技术研究院有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
爱德万测试（中国）管理有限公司,3,爱德万测试（中国）管理有限公司,爱德万测试（中国）管理有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
爱慕股份有限公司,3,爱慕股份有限公司,爱慕股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
百万英才汇南粤2025N城联动秋季招聘活动（江苏专场）,3,百万英才汇南粤2025N城联动秋季招聘活动（江苏专场）,百万英才汇南粤2025N城联动秋季招聘活动（江苏专场）,,False,False,False,False,high_risk_manual_review,p1,manual_review
百联集团有限公司,3,百联集团有限公司,百联集团有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
睿励科学仪器（上海）有限公司,3,睿励科学仪器（上海）有限公司,睿励科学仪器（上海）有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
睿智医药科技股份有限公司,3,睿智医药科技股份有限公司,睿智医药科技股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
砺星工业科技（上海）有限公司,3,砺星工业科技（上海）有限公司,砺星工业科技（上海）有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
福建顶点软件股份有限公司,3,福建顶点软件股份有限公司,福建顶点软件股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
第四范式（北京）技术有限公司,3,第四范式（北京）技术有限公司,第四范式（北京）技术有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
米其林（中国）投资有限公司,3,米其林（中国）投资有限公司,米其林（中国）投资有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
美心食品有限公司,3,美心食品有限公司,美心食品有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
美腕（上海）网络科技有限公司,3,美腕（上海）网络科技有限公司,美腕（上海）网络科技有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
航天科工海鹰集团有限公司,3,航天科工海鹰集团有限公司,航天科工海鹰集团有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
芯原微电子（上海）股份有限公司,3,芯原微电子（上海）股份有限公司,芯原微电子（上海）股份有限公司,,False,False,False,False,high_risk_manual_review,p1,manual_review
